# Resolved pools list by minerstat for msOS
# Updated Sun May 12 08:00:32 UTC 2024
104.26.4.192 2miners.com
51.178.76.133 lyra2rev2.mining-dutch.nl
51.79.251.11 lyra2v2.asia.mine.zergpool.com
188.165.24.209 lyra2v2.eu.mine.zpool.ca
198.50.168.213 lyra2v2.jp.mine.zpool.ca
64.190.63.222 lyra2v2.mine.blazepool.com
103.249.70.7 lyra2v2.mine.zergpool.com
149.56.111.148 lyra2v2.na.mine.zergpool.com
198.50.168.213 lyra2v2.na.mine.zpool.ca
188.165.24.209 lyra2v3.eu.mine.zpool.ca
198.50.168.213 lyra2v3.jp.mine.zpool.ca
64.190.63.222 lyra2v3.mine.blazepool.com
198.50.168.213 lyra2v3.na.mine.zpool.ca
51.79.251.11 lyra2z.asia.mine.zergpool.com
188.165.24.209 lyra2z.eu.mine.zpool.ca
198.50.168.213 lyra2z.jp.mine.zpool.ca
103.249.70.7 lyra2z.mine.zergpool.com
149.56.111.148 lyra2z.na.mine.zergpool.com
198.50.168.213 lyra2z.na.mine.zpool.ca
51.79.251.11 lyra2z330.asia.mine.zergpool.com
103.249.70.7 lyra2z330.mine.zergpool.com
149.56.111.148 lyra2z330.na.mine.zergpool.com
51.79.251.11 m7m.asia.mine.zergpool.com
141.95.55.97 m7m.eu.mine.zergpool.com
188.165.24.209 m7m.eu.mine.zpool.ca
198.50.168.213 m7m.jp.mine.zpool.ca
103.249.70.7 m7m.mine.zergpool.com
198.50.168.213 m7m.na.mine.zpool.ca
198.50.168.213 m7m.sea.mine.zpool.ca
65.20.79.246 mallob-ml.as.neuropool.net
65.20.79.246 mallob-ml.as2.neuropool.net
65.20.79.246 mallob-ml.au.neuropool.net
45.76.20.103 mallob-ml.ca.neuropool.net
45.77.65.97 mallob-ml.eu.neuropool.net
65.20.79.246 mallob-ml.in.neuropool.net
45.77.65.97 mallob-ml.me.neuropool.net
45.76.20.103 mallob-ml.us.neuropool.net
188.165.198.144 masari.miner.rocks
91.195.241.232 mastermine.eu
176.57.189.38 mcmpool.eu
51.79.251.11 megabtx.asia.mine.zergpool.com
188.165.24.209 megabtx.eu.mine.zpool.ca
103.249.70.7 megabtx.mine.zergpool.com
51.79.251.11 megamec.asia.mine.zergpool.com
103.249.70.7 megamec.mine.zergpool.com
5.2.65.14 mine-beam-testnet.leafpool.com
54.37.204.95 mine.arqma.com
82.192.82.227 mine.bittubecash.fairpool.xyz
195.201.97.156 mine.c3pool.com
82.192.82.227 mine.etc.fairpool.xyz
185.107.56.53 mine.loki.fairpool.xyz
82.192.82.227 mine.msr.fairpool.xyz
136.144.191.173 mine.nlpool.nl
37.48.65.152 mine.nuko.fairpool.xyz
82.192.82.227 mine.pgc.fairpool.xyz
172.67.190.213 mine.realpool.eu
37.48.65.144 mine.ryo.fairpool.xyz
37.48.65.144 mine.swap.fairpool.xyz
35.183.200.119 mine.thegrinpool.com
37.48.65.152 mine.wow.fairpool.xyz
37.48.65.152 mine.xhv.fairpool.xyz
141.94.96.71 mine.xmrpool.net
37.48.65.152 mine.xrn.fairpool.xyz
82.192.82.227 mine.zano.fairpool.xyz
103.249.70.7 mine.zergpool.com
198.50.168.213 mine.zpool.ca
91.195.240.117 minebeam.raskul.com
3.64.163.50 mineit.io
3.33.152.147 minepool.com
167.86.116.187 miner-control.de
188.165.198.144 miner.rocks
185.198.70.250 minerpool.net
172.67.152.184 minimizing.net
199.59.243.225 mining.bittube.app
146.148.34.125 mining.bittubeapp.com
15.235.112.32 mining.xpoolx.com
147.135.70.51 miningmadness.com
172.67.186.241 miningpoolhub.com
149.56.143.205 mix-solo.wattpool.net
213.32.53.184 mix.minerpool.net
149.56.12.241 mix.wattpool.net
213.133.111.29 mn.pool-pay.com
34.233.87.27 mng.miningpool.fun
162.19.139.181 moac.2miners.com
145.239.0.106 mona.suprnova.cc
141.95.126.31 monero.herominers.com
107.191.99.221 monerohash.com
162.19.139.119 music.2miners.com
162.19.139.120 mwc.2miners.com
24.144.70.160 mwc.pacificpool.ws
144.76.26.181 my-mining-pool.de
51.79.251.11 myr-gr.asia.mine.zergpool.com
188.165.24.209 myr-gr.eu.mine.zpool.ca
198.50.168.213 myr-gr.jp.mine.zpool.ca
103.249.70.7 myr-gr.mine.zergpool.com
198.50.168.213 myr-gr.na.mine.zpool.ca
51.178.76.133 myrgro.mining-dutch.nl
142.132.196.84 na-etc.hiveon.net
168.119.146.54 na.aionpool.tech
149.56.27.47 na.luckpool.net
34.90.112.127 naw-eth.hiveon.net
208.91.197.46 nbr-pool.proxpool.com
144.76.173.210 nbr.pool-pay.com
51.79.251.11 neoscrypt.asia.mine.zergpool.com
34.111.146.87 neoscrypt.br.nicehash.com
141.95.55.97 neoscrypt.eu.mine.zergpool.com
188.165.24.209 neoscrypt.eu.mine.zpool.ca
34.111.146.87 neoscrypt.eu.nicehash.com
54.38.31.41 neoscrypt.eu1.unimining.net
34.111.146.87 neoscrypt.hk.nicehash.com
34.111.146.87 neoscrypt.in.nicehash.com
198.50.168.213 neoscrypt.jp.mine.zpool.ca
34.111.146.87 neoscrypt.jp.nicehash.com
64.190.63.222 neoscrypt.mine.blazepool.com
103.249.70.7 neoscrypt.mine.zergpool.com
51.178.76.133 neoscrypt.mining-dutch.nl
198.50.168.213 neoscrypt.na.mine.zpool.ca
198.50.168.213 neoscrypt.sea.mine.zpool.ca
34.111.146.87 neoscrypt.usa.nicehash.com
34.96.85.230 nicehash.com
213.32.53.172 nilu.minerpool.net
18.196.209.223 nimiq-trm.icemining.ca
104.26.4.31 nimiq.icemining.ca
103.249.70.7 nist5.asia.mine.zergpool.com
188.165.24.209 nist5.eu.mine.zpool.ca
198.50.168.213 nist5.jp.mine.zpool.ca
103.249.70.7 nist5.mine.zergpool.com
198.50.168.213 nist5.na.mine.zpool.ca
134.209.82.176 nl.stratu.ms
172.67.157.159 nlpool.nl
157.230.65.129 noncepool.com
213.32.53.184 nuko.minerpool.net
45.149.156.122 nuko.mofumofu.me
51.79.251.11 odocrypt.asia.mine.zergpool.com
188.165.24.209 odocrypt.eu.mine.zpool.ca
103.249.70.7 odocrypt.mine.zergpool.com
198.50.168.213 odocrypt.mine.zpool.ca
51.178.76.133 odocrypt.mining-dutch.nl
144.76.173.210 omb.pool-pay.com
172.67.136.138 omegapool.cc
5.188.104.245 p2p-spb.xyz
66.151.242.154 p2p-usa.xyz
188.165.24.209 padihash.eu.mine.zpool.ca
37.48.65.144 pasl.fairpool.xyz
73.239.25.136 pavhash.mooo.com
188.165.24.209 pawelhash.eu.mine.zpool.ca
54.144.7.146 perkle-pool.esprezzo.io
208.91.197.46 persianmine.com
46.105.132.11 pgc.minerpool.net
104.21.42.71 pgo.m2pool.eu
51.79.251.11 phi.asia.mine.zergpool.com
188.165.24.209 phi.eu.mine.zpool.ca
198.50.168.213 phi.jp.mine.zpool.ca
103.249.70.7 phi.mine.zergpool.com
198.50.168.213 phi.na.mine.zpool.ca
188.165.24.209 phi2.eu.mine.zpool.ca
198.50.168.213 phi2.jp.mine.zpool.ca
198.50.168.213 phi2.na.mine.zpool.ca
192.99.244.228 pirl-solo.wattpool.net
162.19.139.182 pirl.2miners.com
213.136.76.42 pirl.coinminer.space
159.69.56.113 pirl.pool.sexy
198.13.46.7 plpool.org
188.165.24.209 polytimos.eu.mine.zpool.ca
198.50.168.213 polytimos.jp.mine.zpool.ca
198.50.168.213 polytimos.na.mine.zpool.ca
64.190.63.222 pool-eu.ethosdistro.com
64.190.63.222 pool-usa.ethosdistro.com
104.21.61.60 pool.0cash.org
195.201.107.113 pool.572133.club
104.21.0.179 pool.acemining.co
168.119.146.54 pool.aionmine.org
172.67.180.33 pool.bibop.net
35.177.186.29 pool.bitcoinote.org
64.190.63.222 pool.bloc.money
35.183.135.32 pool.blocpal.com
103.224.182.238 pool.bsod.pw
172.67.134.144 pool.btcp.network
51.81.56.15 pool.ckpool.org
157.245.174.176 pool.cryptopay.org.za
217.182.84.205 pool.dgb256.online
142.112.7.95 pool.ehpro.ca
104.21.89.146 pool.electroneropulse.org
64.111.98.21 pool.erstweal.com
115.68.110.213 pool.esn.today
104.21.24.196 pool.ethercore.io
107.170.255.60 pool.expanse.tech
45.76.89.70 pool.hashvault.pro
3.64.163.50 pool.italo.network
199.59.243.225 pool.joys.digital
95.216.114.172 pool.krb.fairhash.org
193.164.140.163 pool.lanacoin.com
176.9.40.94 pool.minerall.io
104.26.6.90 pool.ms
173.212.217.104 pool.nashcash.net
213.239.195.185 pool.peopleland.net
174.138.55.214 pool.pexaproject.com
138.68.75.8 pool.pigeoncoin.org
149.5.28.42 pool.pirl.network
172.67.201.243 pool.poolen.io
54.203.168.137 pool.qpool.net
95.216.221.239 pool.qwertycoin.org
23.101.70.187 pool.rwinfo.club
185.134.22.134 pool.ryo-currency.com
80.96.79.148 pool.sprintpay.net
141.94.96.71 pool.supportxmr.com
207.244.227.239 pool.swampcoin.tech
138.201.154.252 pool.talleo.org
95.217.106.182 pool.tube.fairhash.org
91.218.228.13 pool.uralscoin.info
104.21.39.121 pool.wattum.io
195.201.206.213 pool.xmc.fairhash.org
104.21.76.85 pool.zelerius.org
95.216.114.172 pool.zls.fairhash.org
157.245.174.176 poolparty.cryptopay.org.za
51.79.251.11 power2b.asia.mine.zergpool.com
141.95.55.97 power2b.eu.mine.zergpool.com
188.165.24.209 power2b.eu.mine.zpool.ca
103.249.70.7 power2b.mine.zergpool.com
159.89.177.213 powerpool.money
69.16.231.58 pps-etc-eu.adaminers.com
69.16.231.58 pps-eth-eu.adaminers.com
172.67.189.225 prohashing.com
82.192.82.225 proxy.pool.whalesburg.com
50.220.121.211 proxy.prohashing.com
116.203.214.61 qkc.ontopool.com
173.254.207.155 qrl-us.leafpool.com
141.95.126.31 qrl.herominers.com
217.182.169.140 qrl.miningocean.org
51.79.251.11 quark.asia.mine.zergpool.com
188.165.24.209 quark.eu.mine.zpool.ca
34.111.156.8 quark.eu.nicehash.com
34.111.156.8 quark.hk.nicehash.com
198.50.168.213 quark.jp.mine.zpool.ca
103.249.70.7 quark.mine.zergpool.com
198.50.168.213 quark.na.mine.zpool.ca
34.111.156.8 quark.usa.nicehash.com
51.79.251.11 qubit.asia.mine.zergpool.com
34.111.204.196 qubit.br.nicehash.com
188.165.24.209 qubit.eu.mine.zpool.ca
34.111.204.196 qubit.eu.nicehash.com
34.111.204.196 qubit.hk.nicehash.com
34.111.204.196 qubit.in.nicehash.com
198.50.168.213 qubit.jp.mine.zpool.ca
34.111.204.196 qubit.jp.nicehash.com
103.249.70.7 qubit.mine.zergpool.com
51.178.76.133 qubit.mining-dutch.nl
198.50.168.213 qubit.na.mine.zpool.ca
34.111.204.196 qubit.usa.nicehash.com
51.79.251.11 randomarq.asia.mine.zergpool.com
103.249.70.7 randomarq.mine.zergpool.com
51.79.251.11 randomsfx.asia.mine.zergpool.com
141.95.55.97 randomsfx.eu.mine.zergpool.com
103.249.70.7 randomsfx.mine.zergpool.com
141.95.55.97 randomx.eu.mine.zergpool.com
103.249.70.7 randomx.mine.zergpool.com
149.56.111.148 randomx.na.mine.zergpool.com
34.149.22.228 randomxmonero.br.nicehash.com
34.149.22.228 randomxmonero.eu.nicehash.com
34.149.22.228 randomxmonero.hk.nicehash.com
34.149.22.228 randomxmonero.in.nicehash.com
34.149.22.228 randomxmonero.jp.nicehash.com
34.149.22.228 randomxmonero.usa.nicehash.com
172.65.250.99 raven.f2pool.com
144.217.48.60 ravencoin-us.mintpond.com
104.21.19.252 ravencoin.flypool.org
51.38.208.118 ravencoin.mintpond.com
172.67.205.229 ravenminer.com
45.43.30.3 reosc.digipools.org
51.75.65.25 reosc.wattpool.net
198.50.168.213 rfv2.na.mine.zpool.ca
5.9.193.21 ric.suprnova.cc
217.182.199.85 roi.suprnova.cc
213.133.111.29 rto.pool-pay.com
51.158.155.8 ru-etc.hiveon.net
34.90.112.127 ru-eth.hiveon.net
103.224.182.238 ru.bsod.pw
194.67.97.53 ru.hashrent.pro
15.197.192.55 ru.miner.tokyo
54.202.39.18 rustpool.xyz
103.214.5.103 rvn-us.coinblockers.com
172.65.170.148 rvn.antpool.com
103.224.212.214 rvn.hashcity.org
5.39.65.109 rvn.suprnova.cc
161.35.34.195 rx.unmineable.com
5.2.65.14 ryo-eu.leafpool.com
80.211.206.105 ryo.bohemianpool.com
188.165.198.144 ryo.miner.rocks
45.32.202.161 ryopool.cryptosewer.com
162.19.254.225 s-eu.comining.io
51.79.254.82 s-jp.comining.io
82.97.250.223 s-ru.comining.io
51.79.254.82 s-sg.comining.io
5.161.89.122 s-us.comining.io
89.108.114.202 s.comining.io
104.26.7.90 sandbox.pool.ms
35.202.11.182 sc-eu.luxor.tech
35.202.11.182 sc-us.luxor.tech
8.218.67.114 sc.f2pool.com
34.107.131.38 sc.luxor.tech
141.95.126.31 scala.herominers.com
35.202.11.182 scp-eu.luxor.tech
35.202.11.182 scp-us.luxor.tech
188.165.24.209 scrypt-ld.eu.mine.zpool.ca
198.50.168.213 scrypt-ld.jp.mine.zpool.ca
198.50.168.213 scrypt-ld.na.mine.zpool.ca
51.79.251.11 scrypt.asia.mine.zergpool.com
34.111.31.28 scrypt.br.nicehash.com
141.95.55.97 scrypt.eu.mine.zergpool.com
198.50.168.213 scrypt.eu.mine.zpool.ca
34.111.31.28 scrypt.eu.nicehash.com
34.111.31.28 scrypt.hk.nicehash.com
34.111.31.28 scrypt.in.nicehash.com
198.50.168.213 scrypt.jp.mine.zpool.ca
34.111.31.28 scrypt.jp.nicehash.com
103.249.70.7 scrypt.mine.zergpool.com
51.178.76.133 scrypt.mining-dutch.nl
149.56.111.148 scrypt.na.mine.zergpool.com
198.50.168.213 scrypt.na.mine.zpool.ca
198.50.168.213 scrypt.sea.mine.zpool.ca
34.111.31.28 scrypt.usa.nicehash.com
141.95.55.97 scryptn2.eu.mine.zergpool.com
103.249.70.7 scryptn2.mine.zergpool.com
34.90.112.127 seu-eth.hiveon.net
213.239.211.209 sfx.pool-pay.com
52.77.48.7 sg-zil.rustpool.xyz
141.95.126.31 sg.haven.herominers.com
139.99.9.184 sg.haven.miner.rocks
141.95.126.31 sg.qrl.herominers.com
128.199.157.196 sg.stratu.ms
146.190.86.78 sg.stratum.slushpool.com
188.165.24.209 sha256-ld.eu.mine.zpool.ca
198.50.168.213 sha256-ld.jp.mine.zpool.ca
198.50.168.213 sha256-ld.na.mine.zpool.ca
47.90.166.97 sha256.antpool.com
51.79.251.11 sha256.asia.mine.zergpool.com
34.111.151.233 sha256.br.nicehash.com
198.50.168.213 sha256.eu.mine.zpool.ca
34.111.151.233 sha256.eu.nicehash.com
34.111.151.233 sha256.hk.nicehash.com
34.111.151.233 sha256.in.nicehash.com
198.50.168.213 sha256.jp.mine.zpool.ca
34.111.151.233 sha256.jp.nicehash.com
103.249.70.7 sha256.mine.zergpool.com
51.178.76.133 sha256.mining-dutch.nl
149.56.111.148 sha256.na.mine.zergpool.com
198.50.168.213 sha256.na.mine.zpool.ca
172.65.231.147 sha256.poolbinance.com
34.111.151.233 sha256.usa.nicehash.com
130.211.20.161 sha256asicboost.br.nicehash.com
130.211.20.161 sha256asicboost.eu.nicehash.com
130.211.20.161 sha256asicboost.hk.nicehash.com
130.211.20.161 sha256asicboost.in.nicehash.com
130.211.20.161 sha256asicboost.jp.nicehash.com
130.211.20.161 sha256asicboost.usa.nicehash.com
188.165.24.209 sha256t.eu.mine.zpool.ca
198.50.168.213 sha256t.jp.mine.zpool.ca
198.50.168.213 sha256t.na.mine.zpool.ca
103.249.70.7 sha3d.mine.zergpool.com
198.50.168.213 sha3d.mine.zpool.ca
51.79.251.11 sib.asia.mine.zergpool.com
188.165.24.209 sib.eu.mine.zpool.ca
198.50.168.213 sib.jp.mine.zpool.ca
103.249.70.7 sib.mine.zergpool.com
198.50.168.213 sib.na.mine.zpool.ca
217.182.138.181 sib.suprnova.cc
125.253.92.50 singapore01.hashvault.pro
118.31.45.65 sipc.simpool.vip
51.79.251.11 skein.asia.mine.zergpool.com
141.95.55.97 skein.eu.mine.zergpool.com
188.165.24.209 skein.eu.mine.zpool.ca
198.50.168.213 skein.jp.mine.zpool.ca
103.249.70.7 skein.mine.zergpool.com
198.50.168.213 skein.mine.zpool.ca
51.178.76.133 skein.mining-dutch.nl
198.50.168.213 skein.na.mine.zpool.ca
198.50.168.213 skein.sea.mine.zpool.ca
188.165.24.209 skein2.eu.mine.zpool.ca
103.249.70.7 skein2.mine.zergpool.com
198.50.168.213 skein2.na.mine.zpool.ca
188.165.24.209 skunk.eu.mine.zpool.ca
198.50.168.213 skunk.jp.mine.zpool.ca
198.50.168.213 skunk.na.mine.zpool.ca
148.251.90.69 soil.pool.sexy
162.19.139.120 solo-ae.2miners.com
162.19.139.120 solo-beam.2miners.com
162.19.139.120 solo-btcz.2miners.com
162.19.139.182 solo-btg.2miners.com
162.19.139.120 solo-clo.2miners.com
162.19.139.182 solo-dbix.2miners.com
135.125.8.177 solo-etc.altpool.pro
51.195.88.16 solo-eth.2miners.com
89.232.109.242 solo-etho.coolpool.top
162.19.139.181 solo-etp.2miners.com
162.19.139.119 solo-exp.2miners.com
162.19.139.120 solo-mwc.2miners.com
103.224.182.253 solo-nilu.mole-pool.net
162.19.139.119 solo-pirl.2miners.com
103.224.182.253 solo-sero.mole-pool.net
37.187.226.146 solo-ubq.altpool.pro
162.19.139.184 solo-xmr.2miners.com
162.19.139.181 solo-zcl.2miners.com
162.19.139.182 solo-zec.2miners.com
162.19.139.181 solo-zel.2miners.com
172.65.220.229 solo.antpool.com
51.81.56.15 solo.ckpool.org
51.79.251.11 sonoa.asia.mine.zergpool.com
188.165.24.209 sonoa.eu.mine.zpool.ca
198.50.168.213 sonoa.jp.mine.zpool.ca
103.249.70.7 sonoa.mine.zergpool.com
198.50.168.213 sonoa.na.mine.zpool.ca
172.65.175.9 ss.antpool.com
38.11.240.24 ss.bfcpool.com
15.235.216.52 stratum-asia.rplant.xyz
47.106.38.147 stratum-btm.antpool.com
172.65.177.110 stratum-dash.antpool.com
172.65.199.150 stratum-etc.antpool.com
141.94.192.217 stratum-eu.rplant.xyz
172.65.205.30 stratum-ltc.antpool.com
192.95.37.3 stratum-na.rplant.xyz
35.244.156.231 stratum-ravencoin.flypool.org
146.59.217.34 stratum-ru.rplant.xyz
47.106.46.162 stratum-sc.antpool.com
47.115.41.163 stratum-xmc.antpool.com
172.65.211.167 stratum-zec.antpool.com
37.26.136.250 stratum.aikapool.com
168.119.146.54 stratum.aionmine.org
172.65.209.66 stratum.antpool.com
71.88.207.47 stratum.bcmonster.com
62.171.174.233 stratum.coinminerz.com
51.89.64.33 stratum.cudopool.com
172.65.228.175 stratum.f2pool.com
103.224.212.210 stratum.gpuhot.com
103.224.212.215 stratum.happypool.co
8.9.31.244 stratum.icemining.ca
149.28.75.193 stratum.kano.is
209.145.55.172 stratum.mecrypto.club
76.231.241.201 stratum.miner-world.com
142.44.193.168 stratum.my2coins.com
165.227.2.196 stratum.naw.warihash.com
167.114.211.172 stratum.piratepool.io
88.99.120.132 stratum.ravenminer.com
52.138.8.115 stratum.sephira.co
165.22.46.160 stratum.slushpool.com
51.89.118.3 stratum.solomining.io
70.117.210.57 stratum.us2mine.com
88.99.224.82 stratum.yiimp.bobbpool.be
139.99.133.242 stratum.youcrazy.me
80.241.222.199 stratum.yourpool.org
13.248.169.48 stratum.zel.cash
51.178.76.133 stratum1.hashcryptos.com
51.178.76.133 stratum3.hashcryptos.com
51.178.76.133 stratum4.hashcryptos.com
35.76.39.213 sumo.ss.dxpool.com
188.165.198.144 sumokoin.miner.rocks
54.38.33.16 supportxmr.com
136.38.215.218 swap.gxn-miningpool.com
54.36.98.147 swap.miningocean.org
152.228.221.51 swap2.luckypool.io
172.67.145.92 tbdice.org
144.202.73.210 texas.us.rvn.minermore.com
188.165.24.209 timetravel.eu.mine.zpool.ca
198.50.168.213 timetravel.jp.mine.zpool.ca
198.50.168.213 timetravel.na.mine.zpool.ca
199.59.243.225 tkts.cryptonote.club
199.59.243.225 tlo.cryptonote.club
198.50.168.213 tneoscrypt.na.mine.zpool.ca
172.67.213.165 tokenminingpool.com
54.209.32.212 trexmining.com
51.79.251.11 tribus.asia.mine.zergpool.com
188.165.24.209 tribus.eu.mine.zpool.ca
198.50.168.213 tribus.jp.mine.zpool.ca
64.190.63.222 tribus.mine.blazepool.com
103.249.70.7 tribus.mine.zergpool.com
198.50.168.213 tribus.na.mine.zpool.ca
138.201.129.138 trtl.pool.mine2gether.com
185.53.178.50 tsf.europool.me
147.135.1.163 tube.steadyhash.org
141.94.143.236 tube4.luckypool.io
104.199.226.144 tw.sparkpool.com
172.67.142.192 ua-mining.com
64.190.63.222 ubiq-eu.maxhash.org
64.190.63.222 ubiq-us.maxhash.org
37.187.146.34 ubiq.suprnova.cc
144.217.81.198 ubiq.wattpool.net
37.187.226.146 ubq.altpool.pro
134.209.177.184 uk.stratu.ms
104.21.89.146 ukpool.electroneropulse.org
54.36.98.147 upx.miningocean.org
3.33.130.190 upxpool.com
162.19.139.120 us-ae.2miners.com
15.204.198.198 us-beam.2miners.com
15.204.220.142 us-btg.2miners.com
45.76.232.71 us-central.2acoin.org
45.76.227.84 us-central01.miningrigrentals.com
15.204.198.198 us-ckb.2miners.com
217.173.235.116 us-east-stratum.grinmint.com
149.28.117.96 us-east.crazypool.org
95.179.161.251 us-east.ethash-hub.miningpoolhub.com
108.61.78.226 us-east.kawpow-hub.miningpoolhub.com
95.179.161.251 us-east.randomx-hub.miningpoolhub.com
144.217.7.188 us-east.siamining.com
185.53.177.52 us-east.stratum.grin-pool.org
157.230.218.117 us-east.stratum.slushpool.com
104.131.104.33 us-east01.miningrigrentals.com
15.204.220.59 us-etc.2miners.com
162.19.139.184 us-grin.2miners.com
104.238.153.219 us-nw01.miningrigrentals.com
91.195.240.117 us-pool.raskul.com
162.19.139.120 us-solo-ae.2miners.com
15.204.198.198 us-solo-beam.2miners.com
15.204.198.198 us-solo-btg.2miners.com
15.204.220.59 us-solo-etc.2miners.com
162.19.139.184 us-solo-grin.2miners.com
15.204.198.198 us-solo-zec.2miners.com
15.204.220.142 us-solo-zen.2miners.com
149.28.117.96 us-west.crazypool.org
198.74.50.84 us-west.siamining.com
138.197.204.233 us-west01.miningrigrentals.com
15.204.220.142 us-zec.2miners.com
95.216.172.217 us-zel.zellabs.net
15.204.220.142 us-zen.2miners.com
34.223.123.55 us-zil.rustpool.xyz
51.89.124.200 us.0769.it
103.224.182.238 us.bsod.pw
141.94.138.162 us.btgpool.pro
62.210.92.159 us.bytecoin-pool.org
174.138.94.195 us.emcd.io
65.108.45.36 us.equihub.pro
207.244.240.82 us.fastpool.xyz
144.217.81.21 us.frostypool.com
158.69.196.61 us.litecoinpool.org
15.197.192.55 us.miner.tokyo
185.82.20.213 us.mining.bit.tube
104.21.25.233 us.miningfield.com
18.193.115.229 us.nimpool.io
167.71.240.6 us.pool.ms
5.161.149.184 us.ravenminer.com
149.28.243.131 us.rito.minermore.com
155.138.233.65 us.rvn.minermore.com
172.65.236.221 us.ss.btc.com
157.245.218.222 us.stratu.ms
134.209.34.116 us.ubiqpool.io
34.102.152.90 us1-beam.flypool.org
15.197.143.18 us1-zil.shardpool.io
3.64.163.50 us1.fairpool.pro
157.245.183.239 us1.stratu.ms
207.244.251.151 us1.zhash.pro
3.20.46.49 us2-zil.rustpool.xyz
104.236.136.96 us2.litecoinpool.org
70.117.210.57 us2mine.com
147.135.76.240 usa-west.dgb256.online
104.21.89.146 uspool.electroneropulse.org
104.21.62.159 uupool.cn
185.107.56.53 vdl.raptorpool.org
141.94.96.144 vegas-backup.xmrpool.net
103.214.5.103 veil-eu.coinblockers.com
103.214.5.103 veil-us.coinblockers.com
145.239.0.50 veil.suprnova.cc
168.235.70.129 vertcoin.hashalot.net
51.79.251.11 verushash.asia.mine.zergpool.com
141.95.55.97 verushash.eu.mine.zergpool.com
103.249.70.7 verushash.mine.zergpool.com
149.56.111.148 verushash.na.mine.zergpool.com
172.64.152.220 viabtc.com
172.64.152.220 viabtc.net
198.100.144.29 vidulum.dapool.io
145.239.0.126 vtc.suprnova.cc
203.107.43.165 vvpool.com
104.21.91.239 webmng.semipool.com
104.21.91.239 webwxtc.semipool.com
45.32.132.86 west.us.rvn.minermore.com
204.11.56.48 www.eelpool.com
3.64.163.50 www.mineit.io
51.79.251.11 x11.asia.mine.zergpool.com
34.111.231.234 x11.br.nicehash.com
141.95.55.97 x11.eu.mine.zergpool.com
198.50.168.213 x11.eu.mine.zpool.ca
34.111.231.234 x11.eu.nicehash.com
34.111.231.234 x11.hk.nicehash.com
34.111.231.234 x11.in.nicehash.com
198.50.168.213 x11.jp.mine.zpool.ca
34.111.231.234 x11.jp.nicehash.com
64.190.63.222 x11.mine.blazepool.com
103.249.70.7 x11.mine.zergpool.com
198.50.168.213 x11.mine.zpool.ca
51.178.76.133 x11.mining-dutch.nl
198.50.168.213 x11.na.mine.zpool.ca
198.50.168.213 x11.sea.mine.zpool.ca
34.111.231.234 x11.usa.nicehash.com
188.165.24.209 x11evo.eu.mine.zpool.ca
198.50.168.213 x11evo.jp.mine.zpool.ca
198.50.168.213 x11evo.na.mine.zpool.ca
51.178.76.133 x11gost.mining-dutch.nl
51.79.251.11 x13.asia.mine.zergpool.com
34.111.14.184 x13.br.nicehash.com
188.165.24.209 x13.eu.mine.zpool.ca
34.111.14.184 x13.eu.nicehash.com
34.111.14.184 x13.hk.nicehash.com
34.111.14.184 x13.in.nicehash.com
198.50.168.213 x13.jp.mine.zpool.ca
34.111.14.184 x13.jp.nicehash.com
103.249.70.7 x13.mine.zergpool.com
198.50.168.213 x13.na.mine.zpool.ca
34.111.14.184 x13.usa.nicehash.com
188.165.24.209 x15.eu.mine.zpool.ca
198.50.168.213 x15.jp.mine.zpool.ca
198.50.168.213 x15.na.mine.zpool.ca
51.79.251.11 x16r.asia.mine.zergpool.com
35.186.193.182 x16r.br.nicehash.com
141.95.55.97 x16r.eu.mine.zergpool.com
188.165.24.209 x16r.eu.mine.zpool.ca
35.186.193.182 x16r.eu.nicehash.com
35.186.193.182 x16r.hk.nicehash.com
35.186.193.182 x16r.in.nicehash.com
198.50.168.213 x16r.jp.mine.zpool.ca
35.186.193.182 x16r.jp.nicehash.com
64.190.63.222 x16r.mine.blazepool.com
103.249.70.7 x16r.mine.zergpool.com
149.56.111.148 x16r.na.mine.zergpool.com
198.50.168.213 x16r.na.mine.zpool.ca
198.50.168.213 x16r.sea.mine.zpool.ca
35.186.193.182 x16r.usa.nicehash.com
51.79.251.11 x16rt.asia.mine.zergpool.com
188.165.24.209 x16rt.eu.mine.zpool.ca
103.249.70.7 x16rt.mine.zergpool.com
198.50.168.213 x16rt.na.mine.zpool.ca
51.79.251.11 x16rv2.asia.mine.zergpool.com
34.111.213.200 x16rv2.br.nicehash.com
188.165.24.209 x16rv2.eu.mine.zpool.ca
34.111.213.200 x16rv2.eu.nicehash.com
34.111.213.200 x16rv2.hk.nicehash.com
34.111.213.200 x16rv2.in.nicehash.com
198.50.168.213 x16rv2.jp.mine.zpool.ca
34.111.213.200 x16rv2.jp.nicehash.com
103.249.70.7 x16rv2.mine.zergpool.com
198.50.168.213 x16rv2.na.mine.zpool.ca
198.50.168.213 x16rv2.sea.mine.zpool.ca
178.62.28.102 x16rv2.tron-mining.com
34.111.213.200 x16rv2.usa.nicehash.com
51.79.251.11 x16s.asia.mine.zergpool.com
188.165.24.209 x16s.eu.mine.zpool.ca
198.50.168.213 x16s.jp.mine.zpool.ca
103.249.70.7 x16s.mine.zergpool.com
198.50.168.213 x16s.na.mine.zpool.ca
198.50.168.213 x16s.sea.mine.zpool.ca
51.79.251.11 x17.asia.mine.zergpool.com
